InterruptManagerForKernel	0x468bc716	sceKernelGetInterruptExitCount
InterruptManagerForKernel	0x494d6d2b	sceKernelResumeIntr
InterruptManagerForKernel	0x4d6e7305	sceKernelEnableIntr
InterruptManagerForKernel	0x53991063	InterruptManagerForKernel_53991063
InterruptManagerForKernel	0x551097f2	SaveThreadContext
InterruptManagerForKernel	0x55242a8b	ReleaseContextHooks
InterruptManagerForKernel	0x55d18836	sceKernelSetPrimarySyscallHandler
InterruptManagerForKernel	0x58dd8978	sceKernelRegisterIntrHandler
InterruptManagerForKernel	0x5cb5a78b	sceKernelSuspendSubIntr
InterruptManagerForKernel	0x5f10d406	sceKernelCpuResumeIntr
InterruptManagerForKernel	0x6042aee0	SaveThreadContext
InterruptManagerForKernel	0x68b5ca51	sceKernelQueryIntrHandlerInfo
InterruptManagerForKernel	0x6dda4d7b	QueryInterruptManCB
InterruptManagerForKernel	0x6fcba912	sceKernelReleaseDebuggerIntrHandler
InterruptManagerForKernel	0x750e2507	sceKernelSuspendIntr
InterruptManagerForKernel	0x7860e0dc	sceKernelResumeSubIntr
InterruptManagerForKernel	0x8357e7fa	UnSupportIntr
InterruptManagerForKernel	0x85f7766d	SaveThreadContext
InterruptManagerForKernel	0x8a389411	sceKernelDisableSubIntr
InterruptManagerForKernel	0x8b61808b	sceKernelQuerySystemCall
InterruptManagerForKernel	0x8dfbd787	sceKernelGetUserIntrStack
InterruptManagerForKernel	0xa0f88036	sceKernelGetSyscallRA
InterruptManagerForKernel	0xa1b88367	sceKernelSetUserModeIntrHanlerAcceptable
InterruptManagerForKernel	0xa4c1c627	sceKernelClearIntrLogging
InterruptManagerForKernel	0xa6978b70	InterruptManagerForKernel_A6978B70
InterruptManagerForKernel	0xab1fc793	sceKernelSetIntrLogging
InterruptManagerForKernel	0xaf799f96	sceKernelCallUserIntrHandler
InterruptManagerForKernel	0xb386a459	sceKernelReleaseDebuggerIntrHandler
InterruptManagerForKernel	0xb5a15b30	sceKernelSetIntrLevel
InterruptManagerForKernel	0xb941600e	sceKernelSetIntrLevel
InterruptManagerForKernel	0xc495f536	sceKernelSuspendSubIntr
